STATE,PRISON,YEAR,GENDER,NUMBER
PERLIS,PUSAT KOREKSIONAL PERLIS,2016,LELAKI,1212
PERLIS,PUSAT KOREKSIONAL PERLIS,2016,WANITA,0
PERLIS,PUSAT KOREKSIONAL PERLIS,2017,LELAKI,1222
PERLIS,PUSAT KOREKSIONAL PERLIS,2017,WANITA,1
PERLIS,PUSAT KOREKSIONAL PERLIS,2018,LELAKI,1592
PERLIS,PUSAT KOREKSIONAL PERLIS,2018,WANITA,0
PERLIS,PUSAT KOREKSIONAL PERLIS,2019,LELAKI,1893
PERLIS,PUSAT KOREKSIONAL PERLIS,2019,WANITA,0
KEDAH,PENJARA POKOK SENA,2016,LELAKI,5451
KEDAH,PENJARA POKOK SENA,2016,WANITA,625
KEDAH,PENJARA POKOK SENA,2017,LELAKI,5176
KEDAH,PENJARA POKOK SENA,2017,WANITA,550
KEDAH,PENJARA POKOK SENA,2018,LELAKI,5278
KEDAH,PENJARA POKOK SENA,2018,WANITA,588
KEDAH,PENJARA POKOK SENA,2019,LELAKI,4316
KEDAH,PENJARA POKOK SENA,2019,WANITA,149
KEDAH,PENJARA ALOR SETAR,2016,LELAKI,84
KEDAH,PENJARA ALOR SETAR,2016,WANITA,95
KEDAH,PENJARA ALOR SETAR,2017,LELAKI,69
KEDAH,PENJARA ALOR SETAR,2017,WANITA,67
KEDAH,PENJARA ALOR SETAR,2018,LELAKI,60
KEDAH,PENJARA ALOR SETAR,2018,WANITA,94
KEDAH,PENJARA ALOR SETAR,2019,LELAKI,1341
KEDAH,PENJARA ALOR SETAR,2019,WANITA,631
KEDAH,PENJARA SUNGAI PETANI,2016,LELAKI,1414
KEDAH,PENJARA SUNGAI PETANI,2016,WANITA,0
KEDAH,PENJARA SUNGAI PETANI,2017,LELAKI,1183
KEDAH,PENJARA SUNGAI PETANI,2017,WANITA,0
KEDAH,PENJARA SUNGAI PETANI,2018,LELAKI,955
KEDAH,PENJARA SUNGAI PETANI,2018,WANITA,0
KEDAH,PENJARA SUNGAI PETANI,2019,LELAKI,1067
KEDAH,PENJARA SUNGAI PETANI,2019,WANITA,1
PULAU PINANG,PENJARA REMAN PULAU PINANG,2016,LELAKI,147
PULAU PINANG,PENJARA REMAN PULAU PINANG,2016,WANITA,0
PULAU PINANG,PENJARA REMAN PULAU PINANG,2017,LELAKI,81
PULAU PINANG,PENJARA REMAN PULAU PINANG,2017,WANITA,0
PULAU PINANG,PENJARA REMAN PULAU PINANG,2018,LELAKI,74
PULAU PINANG,PENJARA REMAN PULAU PINANG,2018,WANITA,0
PULAU PINANG,PENJARA REMAN PULAU PINANG,2019,LELAKI,60
PULAU PINANG,PENJARA REMAN PULAU PINANG,2019,WANITA,0
PULAU PINANG,PENJARA SEBERANG PERAI,2016,LELAKI,6678
PULAU PINANG,PENJARA SEBERANG PERAI,2016,WANITA,771
PULAU PINANG,PENJARA SEBERANG PERAI,2017,LELAKI,7519
PULAU PINANG,PENJARA SEBERANG PERAI,2017,WANITA,724
PULAU PINANG,PENJARA SEBERANG PERAI,2018,LELAKI,7131
PULAU PINANG,PENJARA SEBERANG PERAI,2018,WANITA,746
PULAU PINANG,PENJARA SEBERANG PERAI,2019,LELAKI,9067
PULAU PINANG,PENJARA SEBERANG PERAI,2019,WANITA,923
PERAK,PENJARA TAIPING,2016,LELAKI,946
PERAK,PENJARA TAIPING,2016,WANITA,0
PERAK,PENJARA TAIPING,2017,LELAKI,707
PERAK,PENJARA TAIPING,2017,WANITA,0
PERAK,PENJARA TAIPING,2018,LELAKI,798
PERAK,PENJARA TAIPING,2018,WANITA,0
PERAK,PENJARA TAIPING,2019,LELAKI,1744
PERAK,PENJARA TAIPING,2019,WANITA,0
PERAK,PUSAT KOREKSIONAL KAMUNTING,2016,LELAKI,1517
PERAK,PUSAT KOREKSIONAL KAMUNTING,2016,WANITA,0
PERAK,PUSAT KOREKSIONAL KAMUNTING,2017,LELAKI,1281
PERAK,PUSAT KOREKSIONAL KAMUNTING,2017,WANITA,2
PERAK,PUSAT KOREKSIONAL KAMUNTING,2018,LELAKI,674
PERAK,PUSAT KOREKSIONAL KAMUNTING,2018,WANITA,0
PERAK,PUSAT KOREKSIONAL KAMUNTING,2019,LELAKI,599
PERAK,PUSAT KOREKSIONAL KAMUNTING,2019,WANITA,1
PERAK,PENJARA TAPAH,2016,LELAKI,5562
PERAK,PENJARA TAPAH,2016,WANITA,580
PERAK,PENJARA TAPAH,2017,LELAKI,5930
PERAK,PENJARA TAPAH,2017,WANITA,645
PERAK,PENJARA TAPAH,2018,LELAKI,5475
PERAK,PENJARA TAPAH,2018,WANITA,415
PERAK,PENJARA TAPAH,2019,LELAKI,6851
PERAK,PENJARA TAPAH,2019,WANITA,687
SELANGOR/KUALA LUMPUR,PENJARA KAJANG ,2016,LELAKI,24908
SELANGOR/KUALA LUMPUR,PENJARA KAJANG ,2016,WANITA,0
SELANGOR/KUALA LUMPUR,PENJARA KAJANG ,2017,LELAKI,28682
SELANGOR/KUALA LUMPUR,PENJARA KAJANG ,2017,WANITA,0
SELANGOR/KUALA LUMPUR,PENJARA KAJANG ,2018,LELAKI,26246
SELANGOR/KUALA LUMPUR,PENJARA KAJANG ,2018,WANITA,0
SELANGOR/KUALA LUMPUR,PENJARA KAJANG ,2019,LELAKI,17792
SELANGOR/KUALA LUMPUR,PENJARA KAJANG ,2019,WANITA,0
SELANGOR/KUALA LUMPUR,PENJARA SUNGAI BULOH,2016,LELAKI,4132
SELANGOR/KUALA LUMPUR,PENJARA SUNGAI BULOH,2016,WANITA,0
SELANGOR/KUALA LUMPUR,PENJARA SUNGAI BULOH,2017,LELAKI,2098
SELANGOR/KUALA LUMPUR,PENJARA SUNGAI BULOH,2017,WANITA,0
SELANGOR/KUALA LUMPUR,PENJARA SUNGAI BULOH,2018,LELAKI,664
SELANGOR/KUALA LUMPUR,PENJARA SUNGAI BULOH,2018,WANITA,0
SELANGOR/KUALA LUMPUR,PENJARA SUNGAI BULOH,2019,LELAKI,15372
SELANGOR/KUALA LUMPUR,PENJARA SUNGAI BULOH,2019,WANITA,0
SELANGOR/KUALA LUMPUR,PENJARA WANITA KAJANG,2016,LELAKI,0
SELANGOR/KUALA LUMPUR,PENJARA WANITA KAJANG,2016,WANITA,5901
SELANGOR/KUALA LUMPUR,PENJARA WANITA KAJANG,2017,LELAKI,0
SELANGOR/KUALA LUMPUR,PENJARA WANITA KAJANG,2017,WANITA,7024
SELANGOR/KUALA LUMPUR,PENJARA WANITA KAJANG,2018,LELAKI,0
SELANGOR/KUALA LUMPUR,PENJARA WANITA KAJANG,2018,WANITA,6616
SELANGOR/KUALA LUMPUR,PENJARA WANITA KAJANG,2019,LELAKI,0
SELANGOR/KUALA LUMPUR,PENJARA WANITA KAJANG,2019,WANITA,6182
SELANGOR/KUALA LUMPUR,PUSAT KOREKSIONAL PUNCAK ALAM,2016,LELAKI,3
SELANGOR/KUALA LUMPUR,PUSAT KOREKSIONAL PUNCAK ALAM,2016,WANITA,0
SELANGOR/KUALA LUMPUR,PUSAT KOREKSIONAL PUNCAK ALAM,2017,LELAKI,58
SELANGOR/KUALA LUMPUR,PUSAT KOREKSIONAL PUNCAK ALAM,2017,WANITA,0
SELANGOR/KUALA LUMPUR,PUSAT KOREKSIONAL PUNCAK ALAM,2018,LELAKI,1377
SELANGOR/KUALA LUMPUR,PUSAT KOREKSIONAL PUNCAK ALAM,2018,WANITA,0
SELANGOR/KUALA LUMPUR,PUSAT KOREKSIONAL PUNCAK ALAM,2019,LELAKI,1536
SELANGOR/KUALA LUMPUR,PUSAT KOREKSIONAL PUNCAK ALAM,2019,WANITA,0
NEGERI SEMBILAN,PENJARA SEREMBAN,2016,LELAKI,3197
NEGERI SEMBILAN,PENJARA SEREMBAN,2016,WANITA,0
NEGERI SEMBILAN,PENJARA SEREMBAN,2017,LELAKI,3369
NEGERI SEMBILAN,PENJARA SEREMBAN,2017,WANITA,0
NEGERI SEMBILAN,PENJARA SEREMBAN,2018,LELAKI,2465
NEGERI SEMBILAN,PENJARA SEREMBAN,2018,WANITA,3
NEGERI SEMBILAN,PENJARA SEREMBAN,2019,LELAKI,2376
NEGERI SEMBILAN,PENJARA SEREMBAN,2019,WANITA,11
NEGERI SEMBILAN,INSTITUT PEMULIHAN DADAH JELEBU,2016,LELAKI,1298
NEGERI SEMBILAN,INSTITUT PEMULIHAN DADAH JELEBU,2016,WANITA,2
NEGERI SEMBILAN,INSTITUT PEMULIHAN DADAH JELEBU,2017,LELAKI,1745
NEGERI SEMBILAN,INSTITUT PEMULIHAN DADAH JELEBU,2017,WANITA,1
NEGERI SEMBILAN,INSTITUT PEMULIHAN DADAH JELEBU,2018,LELAKI,1618
NEGERI SEMBILAN,INSTITUT PEMULIHAN DADAH JELEBU,2018,WANITA,0
NEGERI SEMBILAN,INSTITUT PEMULIHAN DADAH JELEBU,2019,LELAKI,2440
NEGERI SEMBILAN,INSTITUT PEMULIHAN DADAH JELEBU,2019,WANITA,1
MELAKA,PENJARA SUNGAI UDANG,2016,LELAKI,4750
MELAKA,PENJARA SUNGAI UDANG,2016,WANITA,632
MELAKA,PENJARA SUNGAI UDANG,2017,LELAKI,4870
MELAKA,PENJARA SUNGAI UDANG,2017,WANITA,588
MELAKA,PENJARA SUNGAI UDANG,2018,LELAKI,4939
MELAKA,PENJARA SUNGAI UDANG,2018,WANITA,478
MELAKA,PENJARA SUNGAI UDANG,2019,LELAKI,1656
MELAKA,PENJARA SUNGAI UDANG,2019,WANITA,772
MELAKA,PENJARA PRA BEBAS DUSUN DATO MURAD,2016,LELAKI,653
MELAKA,PENJARA PRA BEBAS DUSUN DATO MURAD,2016,WANITA,0
MELAKA,PENJARA PRA BEBAS DUSUN DATO MURAD,2017,LELAKI,460
MELAKA,PENJARA PRA BEBAS DUSUN DATO MURAD,2017,WANITA,0
MELAKA,PENJARA PRA BEBAS DUSUN DATO MURAD,2018,LELAKI,205
MELAKA,PENJARA PRA BEBAS DUSUN DATO MURAD,2018,WANITA,0
MELAKA,PENJARA PRA BEBAS DUSUN DATO MURAD,2019,LELAKI,4550
MELAKA,PENJARA PRA BEBAS DUSUN DATO MURAD,2019,WANITA,0
MELAKA,PUSAT KOREKSIONAL JASIN,2016,LELAKI,10
MELAKA,PUSAT KOREKSIONAL JASIN,2016,WANITA,0
MELAKA,PUSAT KOREKSIONAL JASIN,2017,LELAKI,82
MELAKA,PUSAT KOREKSIONAL JASIN,2017,WANITA,0
MELAKA,PUSAT KOREKSIONAL JASIN,2018,LELAKI,122
MELAKA,PUSAT KOREKSIONAL JASIN,2018,WANITA,0
MELAKA,PUSAT KOREKSIONAL JASIN,2019,LELAKI,301
MELAKA,PUSAT KOREKSIONAL JASIN,2019,WANITA,0
JOHOR,PENJARA KLUANG,2016,LELAKI,8169
JOHOR,PENJARA KLUANG,2016,WANITA,1295
JOHOR,PENJARA KLUANG,2017,LELAKI,8211
JOHOR,PENJARA KLUANG,2017,WANITA,1792
JOHOR,PENJARA KLUANG,2018,LELAKI,8582
JOHOR,PENJARA KLUANG,2018,WANITA,1963
JOHOR,PENJARA KLUANG,2019,LELAKI,3417
JOHOR,PENJARA KLUANG,2019,WANITA,1948
JOHOR,PENJARA SIMPANG RENGGAM,2016,LELAKI,1303
JOHOR,PENJARA SIMPANG RENGGAM,2016,WANITA,0
JOHOR,PENJARA SIMPANG RENGGAM,2017,LELAKI,1290
JOHOR,PENJARA SIMPANG RENGGAM,2017,WANITA,0
JOHOR,PENJARA SIMPANG RENGGAM,2018,LELAKI,1070
JOHOR,PENJARA SIMPANG RENGGAM,2018,WANITA,0
JOHOR,PENJARA SIMPANG RENGGAM,2019,LELAKI,8501
JOHOR,PENJARA SIMPANG RENGGAM,2019,WANITA,1
JOHOR,PUSAT KOREKSIONAL JOHOR BAHRU,2016,LELAKI,295
JOHOR,PUSAT KOREKSIONAL JOHOR BAHRU,2016,WANITA,0
JOHOR,PUSAT KOREKSIONAL JOHOR BAHRU,2017,LELAKI,290
JOHOR,PUSAT KOREKSIONAL JOHOR BAHRU,2017,WANITA,0
JOHOR,PUSAT KOREKSIONAL JOHOR BAHRU,2018,LELAKI,270
JOHOR,PUSAT KOREKSIONAL JOHOR BAHRU,2018,WANITA,0
JOHOR,PUSAT KOREKSIONAL JOHOR BAHRU,2019,LELAKI,394
JOHOR,PUSAT KOREKSIONAL JOHOR BAHRU,2019,WANITA,0
JOHOR,PUSAT KOREKSIONAL MUAR,2016,LELAKI,3
